Content Name,Channel URL
Erico Rocha,https://www.youtube.com/channel/UCWnPYXKHjlV3tvQM7iKgGaA
Canal Moreze,https://www.youtube.com/channel/UC8KctpFNZvD9HZWO4L79crQ
ANCAPSU,https://www.youtube.com/channel/UCLTWPE7XrHEe8m_xAmNbQ-Q
TheMFW,https://www.youtube.com/channel/UCbIa2wKzCfoTCF0qaNFEq-Q
Ninja do Excel,https://www.youtube.com/channel/UChTLNqbdIMNny_vCqn6e-iA
Marinho Games,https://www.youtube.com/channel/UCRHOnDRW_fiqxZDbchDq8SQ
Festinha do Rodil,https://www.youtube.com/channel/UCbamPVITP0irOgH2CyAw_yQ
CHARLES JOGOS,https://www.youtube.com/channel/UCRxlkQN7-ys_DSQpVMFrC-A
CriptoBR,https://www.youtube.com/channel/UCD9A8nZLAtZiM_1ZgLkn-kg
agathedavray,https://www.youtube.com/channel/UCIGC1YRJneS0eU4T3C5UiDA
Crypto Minuto,https://www.youtube.com/channel/UCIUeus6e0aacfauLUrNG1dw
Pânico Retrô,https://www.youtube.com/channel/UC2IEgRZcIuemAPJqXa2nHvQ
rbiana,https://www.youtube.com/channel/UCDfRoZgAMaGCnUyl5n2yECw
Trabalho Virtual,https://www.youtube.com/channel/UCNOa-cO16ghIbnFnReO5zEQ
Via Infinda,https://www.youtube.com/channel/UCkIEY6rUSPy4qQjLqBBLUSg
PC do FAFA,https://www.youtube.com/channel/UCI1FHmMbh27WuxHjGXyn2ww
Area Bitcoin,https://www.youtube.com/channel/UC7PL5GpOZFTjDAl9BSas0eA
Investidor Sardinha l Raul Sena,https://www.youtube.com/channel/UCM3vJxmuJJkk1r0yzFI9eZg
TecnoArt,https://www.youtube.com/channel/UCHUhlZy-CbS0-YvPQ5yBRIQ
Pablo Marçal,https://www.youtube.com/channel/UCbroBIg8zvIH8-F4631wJhA
Juliano Caju,https://www.youtube.com/channel/UC6m6J4QX0T3COcimWlsoxDw
Gabriel de Pinho,https://www.youtube.com/channel/UCBqoA_hedJJaOBhsVLy1GAg
MinhArte,https://www.youtube.com/channel/UCYxIRI2_VfmgpZ-JHEHDjug
Zatch NFT,https://www.youtube.com/channel/UCSa0G_Z3OANJ3r-pCiRqglg
CBLOL,https://www.youtube.com/channel/UC48rkTlXjRd6pnqqBkdV0Mw
oiluiz TV,https://www.youtube.com/channel/UCTnAz569lU_nwpSmY4daZvg
Engenheiro Cripto,https://www.youtube.com/channel/UCqN3Vco640zFPgKbgTg_LGA
Primo Pobre,https://www.youtube.com/channel/UCOjXqrOxAdXa04obIQREfCA
Canal Nostalgia,https://www.youtube.com/channel/UCH2VZQBLFTOp6I_qgnBJCuQ
Canal do Schwarza,https://www.youtube.com/channel/UCWq1xltHB2fDe6YkYoOrryg
Crypto News,https://www.youtube.com/channel/UCxGhz0Pca11GBuPo13VpDbA
MrBeast Gaming,https://www.youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA
Modder Clips [OFICIAL],https://www.youtube.com/channel/UC7hvsI7ZjjwbFs2TUDpCUDA
Crypto & Crypto,https://www.youtube.com/channel/UCLSwAbQyvNVHGNYK1hvjRBw
Castro Brothers,https://www.youtube.com/channel/UC-PjJT0RVURj_L6D8D3WIww
LEO STRONDA,https://www.youtube.com/channel/UC6gJAnIhDn2Fy_jZfICmgSA
Flow News,https://www.youtube.com/channel/UCYpE7GffL46a9WT5b-Rekpg
THE BEST CRYPTO OS MELHORES FAUCET APP MINERADORAS,https://www.youtube.com/channel/UCAaYuUYTuInPrBLWPV_187w
História Cabeluda,https://www.youtube.com/channel/UCqbz_4hrf2D58UFBOleuFnQ
D BEN SHOW,https://www.youtube.com/channel/UCQlciW6Xy-2g4N0FnTJta8Q
Cortes Bianquinha,https://www.youtube.com/channel/UCfzWW5niiquP_bK9D64biSQ
Geek Antenado,https://www.youtube.com/channel/UCjTGBll7Sz8VCYiPPkIZpaw
Meme Coins Ductor Marcus,https://www.youtube.com/channel/UCA-cUVH5iyytWWJ2gW1l3Kg
INDIAO,https://www.youtube.com/channel/UCM5UGjIQkgP3pRqzq92oKdQ
Academia Alta Renda,https://www.youtube.com/channel/UCjoLKKwIrc3hf-9QUdswuQw
Eu sou seu PAI,https://www.youtube.com/channel/UC34tIx4iPC5-BJBsBfAvT1Q
CORTES - Sandro Cabrales,https://www.youtube.com/channel/UCO50kpmk4I3Bzmx0IpoNYJQ
Aviões e Músicas,https://www.youtube.com/channel/UCLXl1V6n82Dyg1VhVgSL0nw
AniCaps - Recap de Animes,https://www.youtube.com/channel/UCJd_Aw8kAnal40WTkhpxKGg
bitcoin news criptomoedas,https://www.youtube.com/channel/UCw_kupPfhMVL_YlhoO_ozIQ
BATIMA Animes,https://www.youtube.com/channel/UCzRfDLYR5bROtnOP-wl2gvQ
Mestres da Informática,https://www.youtube.com/channel/UCNblNh-u0nu5mtXT84Wgdiw
Canal do Term,https://www.youtube.com/channel/UCIaTKdouW7eYujCzNLH06DA
Investimentos Digitais,https://www.youtube.com/channel/UCiKDrOGNMEpAseQnMCPdARw
PineappleStormTV,https://www.youtube.com/channel/UCqrFwa5vueOTzGZ7NSlnvlQ
Power for Parkinsons,https://www.youtube.com/channel/UC9QTes9SMZKbSzDS-nvhr3g
NetMovies,https://www.youtube.com/channel/UCK5RRQ3TdwAbbCWrtnXsN3Q
MELHORES MOMENTOS DA TWITCH,https://www.youtube.com/channel/UCXnIhdFvGKAUo1SH-WM62RA
DEUnainfoGAMES,https://www.youtube.com/channel/UCDcKQPwyZ4qVgTKcJJMhbUw
Super Oito,https://www.youtube.com/channel/UCE8deXi-Eea3SuEV1Q1L4ug
asmorpheus,https://www.youtube.com/channel/UCqZmoQPfpi3NkCZiO4aWcVQ
Clark Elieson,https://www.youtube.com/channel/UC06b5TQFFMFZvMakw1QLpQg
Almanaque x,https://www.youtube.com/channel/UCJ-hMsnHe-a8Sl9P_ZjGrPA
Dave's Garage,https://www.youtube.com/channel/UCNzszbnvQeFzObW0ghk0Ckw
Canal do Nicola,https://www.youtube.com/channel/UCx0RRbF4EJOUQ28SurIU7Eg
INVESTCHE,https://www.youtube.com/channel/UCecSnlzarL32GETO0_coV3Q
Ronaldo Silva - Bitcoin RS,https://www.youtube.com/channel/UClwTmoMI3r-iQOW0EnaXhaw
BKShivani,https://www.youtube.com/channel/UCQdyCrZpGq4Bbu6V8LPUDWg
ANONIMO101,https://www.youtube.com/channel/UC8fpPk1RGKcVnoW_dHbDhuA
Rogerio Betin,https://www.youtube.com/channel/UC_IWfxUvvNtYlGSi2A-JjQA
Miguel Lokia,https://www.youtube.com/channel/UCP_Hxwf6ajGjPsMw0a8rnLQ
Real Civil Engineer,https://www.youtube.com/channel/UCeP4Yv3s4RvS0-6d9OInRMw
Coding Tech,https://www.youtube.com/channel/UCtxCXg-UvSnTKPOzLH4wJaQ
Stand Up Brasil,https://www.youtube.com/channel/UCXCmFD1AlNW2A8ksqPsPS2Q
Chispa Motivation,https://www.youtube.com/channel/UCaFw9cH80hvRyLaxBB9ANWQ
Motivation Madness,https://www.youtube.com/channel/UCHbq_l1qnuomfJCYQTsWf_Q
LoboSolitário,https://www.youtube.com/channel/UCNvPvAk_iwfJyJ_feTaCllw
WolfheartFPS,https://www.youtube.com/channel/UCi3RdvCWYMzdF-iUgG_0xLQ
Pamela Reif,https://www.youtube.com/channel/UChVRfsT_ASBZk10o0An7Ucg
ABC News In-depth,https://www.youtube.com/channel/UCxcrzzhQDj5zKJbXfIscCtg
English Speeches,https://www.youtube.com/channel/UCLyr-hfWVCKHcZjV5fg3jbw
Throneful,https://www.youtube.com/channel/UCIw5rbXUrtk31t20Ap5817w
Melissa Bender,https://www.youtube.com/channel/UCW6EhFcuDNhi9XWMYlxTw5g
Professor HOC,https://www.youtube.com/channel/UCkVBx-XpEXAgWHX5-P1hl-A
Orlando on Crypto,https://www.youtube.com/channel/UCbYEDy7bIknUPwpZdHDpPww
Michel Henrique,https://www.youtube.com/channel/UCFuME4LkW21PGw6xW2wE3iA
Mr. Fruit,https://www.youtube.com/channel/UCV96ER3MAI1S81HH6l9wwbQ
Crypto Hoje,https://www.youtube.com/channel/UCJgxsqYKOHVfRk0hrF4G0VQ
Swen Filmes,https://www.youtube.com/channel/UCoBSoU_ho6gYEsEdO72h1Zg
Sixquatre,https://www.youtube.com/channel/UCkz0OAIQgpREGRDyHLaiI5A
VALE A PENA SIDÃO,https://www.youtube.com/channel/UCV9XqJCrMm2OcBffqSoj16g
ExxotikGaming,https://www.youtube.com/channel/UCfU_cQ87w6OpTFwmS9BpmHg
Mady Morrison,https://www.youtube.com/channel/UCHJBoCDxaCTRrwCHXEBA-BA
Chapéus de Palha,https://www.youtube.com/channel/UCUfWm_-hLG8NGc8iLmwjJcQ
Denílson Show,https://www.youtube.com/channel/UCnlR7Byv1irGXGokMXf9nAQ
DXtreme Gaming,https://www.youtube.com/channel/UCuh0BVTe-QCqkxFn1KW5ExQ
Gabriel Pelissaro,https://www.youtube.com/channel/UCTIT45x_jg8XoPyMPgP2Znw
Max Titanium,https://www.youtube.com/channel/UCy-R3H4s0z1HubB_uSiGsHA
Derrotando Filmes,https://www.youtube.com/channel/UCXdXbm5P-8UIQRNjF94uHTA
Ideias Radicais,https://www.youtube.com/channel/UC-NwgkrLPYmzM-xoLr2GX-Q
Games EduUu,https://www.youtube.com/channel/UCYzp8-P162Em-3uZnCuGJOg
Yoga with Kassandra,https://www.youtube.com/channel/UCX32D3gKXENrhOXdZjWWtMA
MusicMindMagic,https://www.youtube.com/channel/UC1-nq7lpxw9XKE2nVlCPKnQ
Lucy Wyndham-Read,https://www.youtube.com/channel/UCag7XoiJLutjBTsM0tAzUzg
Adrian,https://www.youtube.com/channel/UCLcQm-Awn023GpPT8bXb5Bw
Austin Evans,https://www.youtube.com/channel/UCXGgrKt94gR6lmN4aN3mYTg
Hera - Age of Empires 2,https://www.youtube.com/channel/UCeqc9aYVAZcRQq9Ey0x26AQ
Abraham,https://www.youtube.com/channel/UC0qgDFuPmvDRNz_tXO90fBg
Brasil Paralelo,https://www.youtube.com/channel/UCKDjjeeBmdaiicey2nImISw
Amanda Tingles ASMR,https://www.youtube.com/channel/UCIoJjgFKfyA_w8Id2W4F5Jw
Curso em Vídeo,https://www.youtube.com/channel/UCrWvhVmt0Qac3HgsjQK62FQ
Fraser Wilson,https://www.youtube.com/channel/UCyiNCEHLyKbSUrrncVr9KvQ
Manual das Cryptos,https://www.youtube.com/channel/UCQ6s36UQQYyLSjaw21ok7zg
Holly Honjo,https://www.youtube.com/channel/UC6i8860W8webzQmld2IPGxg
Me Poupe!,https://www.youtube.com/channel/UC8mDF5mWNGE-Kpfcvnn0bUg
Fresh Spawns,https://www.youtube.com/channel/UCwVJr6R-2Hbezs5Ur4zmcLw
HaloBT,https://www.youtube.com/channel/UCZA8Q6vPCX3EfQSdHC26CnA
Be!Tech,https://www.youtube.com/channel/UCnnAzRbUm_6mSqyqAJSkc_A
Mitchell K,https://www.youtube.com/channel/UCQC6EzAnHPn4egUhEWQTouQ
Montalvão,https://www.youtube.com/channel/UCB96MmC7nKgxkCKdXmfhVRw
Melhores Vods Br,https://www.youtube.com/channel/UCj1sA2CGaz-xbkBaU_zcMFQ
Yoga With Tim,https://www.youtube.com/channel/UCciuZl2ydLCvN5txlLW0rIg
SINMAIN,https://www.youtube.com/channel/UCyIeVnOW2llF9n12kntZRBg
Trifecta Pilates,https://www.youtube.com/channel/UCGyYSva87WwY-XG7VOlYdfg
Project For Gaia - TRANCE DRUMS & MEDITATION Music,https://www.youtube.com/channel/UCBiCv1U6RTYp6OSX7l3xQtA
Groselha Talk - Cortes [OFICIAL],https://www.youtube.com/channel/UC98esU3jKqGY8A156-rxKfA
Sydney Cummings Houdyshell,https://www.youtube.com/channel/UCVQJZE_on7It_pEv6tn-jdA
PythonGB,https://www.youtube.com/channel/UC0EUI4xA5SB6WswqLavNcyA
Heather Robertson,https://www.youtube.com/channel/UCOpsZxrmeDARilha1uq4slA
K Tech,https://www.youtube.com/channel/UCJY41yD2uXdj3sV-8sMOcGw
Engineer Codewala,https://www.youtube.com/channel/UC_BJANGDRCeogR_kJ2Qe-ew
Zenva,https://www.youtube.com/channel/UCDJVbKWW-ThFTraRklmF1IQ
growingannanas,https://www.youtube.com/channel/UCsLF0qPTpkYKq81HsjgzhwQ
Zac Builds,https://www.youtube.com/channel/UCqxM9T6ksiOVKIkb88S2r7Q
NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
Fostering Resilience,https://www.youtube.com/channel/UCjkkcF-sqjKARImaQ02E3JA
The Honest Guys - Meditations - Relaxation,https://www.youtube.com/channel/UC4jWo5kiyOCt4PnvF4jbaLg
Whoovie,https://www.youtube.com/channel/UC97v2HZ75Ni0HLqBgZmqs0w
Einzelgänger,https://www.youtube.com/channel/UCybBViio_TH_uiFFDJuz5tg
Galeria do Meteorito,https://www.youtube.com/channel/UCI_HfUogtuJBbNIQRea334g
inspiro music,https://www.youtube.com/channel/UCZh7kuDvkfkjU7iB2QvHKsg
Clarity Coaching - Transforming Lives,https://www.youtube.com/channel/UCecXxbQx7-kk1-mjz6fRB5Q
Cogumelando Videogame,https://www.youtube.com/channel/UCXso4Ho8UARhzS3I_LOVTKA
FaZe Rug,https://www.youtube.com/channel/UCilwZiBBfI9X6yiZRzWty8Q
FuryTV,https://www.youtube.com/channel/UCu3pDheBV5chOddcuOSqTnw
Sweet Carol,https://www.youtube.com/channel/UCTFCMkTZPwi_PjerXYxDscA
Natie Makeup,https://www.youtube.com/channel/UCixLokqoYNnUvUybr8FMQDg
LunaYes - Guided Sleep Meditations,https://www.youtube.com/channel/UCKJ8ywvFjvcbM9sl8Hyu_xQ
Skill Capped Challenger LoL Guides,https://www.youtube.com/channel/UCFl1mGlf5j0Qno1Kxnyv6FA
Znorux,https://www.youtube.com/channel/UCLvJ8hAtw30quyChCqH8eqQ
brininha asmr,https://www.youtube.com/channel/UCTKeF6HalGS6fZ-KczS8joA
Meditation Freedom,https://www.youtube.com/channel/UCzGmo0mqFb6mDHzjnNxITfw
Your Youniverse,https://www.youtube.com/channel/UC-WM2mvTh2830HL8Vpgk7mA
iLeo0x,https://www.youtube.com/channel/UCVpG3rjwdTTzW4jg8sxsWSg
Possessivo,https://www.youtube.com/channel/UCmGFyFFD5gDIFpLeukiogBw
Cool Marina,https://www.youtube.com/channel/UCq0eFFV63qDGQnLtkv8fe0g
Som Livre,https://www.youtube.com/channel/UCEATCATai_oafDuqKssZITw
CARIES DOTA,https://www.youtube.com/channel/UCDVBUheR-EzM22ar-wLnhmQ
Record TV Cabo Verde,https://www.youtube.com/channel/UCoRz1sARw5el7c9WhVf6mkQ
Olga Do Brasil,https://www.youtube.com/channel/UCAdWun5RCSwqE-n1FC9bpcQ
DW Planet A,https://www.youtube.com/channel/UCb72Gn5LXaLEcsOuPKGfQOg
Problems,https://www.youtube.com/channel/UCrcBZDofBltcgGxphNia2tw
Mateus Rapini,https://www.youtube.com/channel/UCL9Cui1t41BBcoVhCYUdxAQ
Prof. Walter Silva - Cripto Com Fé,https://www.youtube.com/channel/UC6PoZPuYR6EL9C1LodtJGfg
Invento na Hora,https://www.youtube.com/channel/UCR3vcUrhFUdzagng58ueI2w
Fiaspo,https://www.youtube.com/channel/UCPmKDdmHl5F7EvJGFoSHOwg
Smoke,https://www.youtube.com/channel/UClEQpYjZSMQcRkaKvu5pZTQ
MODO MONEY,https://www.youtube.com/channel/UCZcwCCoPizobH0FWtiBa45Q
Meditation Vacation,https://www.youtube.com/channel/UCqWB6EseWbMKnzunyewBDqg
Turbo/Банальное TV,https://www.youtube.com/channel/UC6BSauWTUKWzRqJJihGDsTg
Welyn,https://www.youtube.com/channel/UCg4XK-l40KZD7fLi12pJ1YA
NORMOSE,https://www.youtube.com/channel/UCqBY-VQ2BxHOWnVpuC7swrw
Emerson Juliani - Músicas Antigas,https://www.youtube.com/channel/UCeb6TXO7Tpd1UkuIwxDLiKQ
Duplamente Rico,https://www.youtube.com/channel/UCDJv92b55J7aCOcuu1SfO3w
Headspace,https://www.youtube.com/channel/UC3JhfsgFPLSLNEROQCdj-GQ
Fizz,https://www.youtube.com/channel/UCEV06YrGlf5e2ONO5MtcDmg
PleaseRelogIn,https://www.youtube.com/channel/UC2Jc1dHu44AmYb9tS8GolRg
Pants are Dragon,https://www.youtube.com/channel/UChBb5BEX36y-DXK7uISYbzg
Come To Rest ASMR,https://www.youtube.com/channel/UCJ8ZvE_5fwGScijvf5fb-mg
Mundo Polarizado | Olimpio Araujo Junior,https://www.youtube.com/channel/UC5Bw0GoCfHk9tA_30ltCw9Q
Henrique e Juliano,https://www.youtube.com/channel/UCfLTxnQboSLcoSakgONmukQ
Jack Canfield,https://www.youtube.com/channel/UCfqec6hc_zc2pM78ozgTbRQ
Enaldinho,https://www.youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA
Master Truck Driver,https://www.youtube.com/channel/UCeioGcxgPUvNgXFZxpEtnoQ
Gamology Rus,https://www.youtube.com/channel/UC7Y81DLlOhLdNNGZ9PHbLFg
Nguyen Tran,https://www.youtube.com/channel/UC13tH1JMiTJ1r6-ZbpcAUMA
NBA,https://www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ
Goularte,https://www.youtube.com/channel/UCo-SyplR7M1ZC1w0YhwMa8w
RoboKast,https://www.youtube.com/channel/UCh0nhnxAGwpnU5MwImHsdQQ
Top Discovery,https://www.youtube.com/channel/UCzpXbC_6o4_JmO4EGJbBd2w
JJ,https://www.youtube.com/channel/UC4GQb2aujhdNY9ljw8wNhaA
Amanda Pastore,https://www.youtube.com/channel/UCtcVFZjsblXS0aFJb2cWFSA
OpenGame,https://www.youtube.com/channel/UCb7OQUKghsCAVr2Y98cZFRw
Carlos Queiroz Investments Online,https://www.youtube.com/channel/UCjGHUbdgkR2cqLZ5z0xmSLw
TheDevildogGamer,https://www.youtube.com/channel/UCW07alAefFXWdo7RgEDtBcQ
EminemVEVO,https://www.youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ
Bruno Fraga,https://www.youtube.com/channel/UCbTtcwb7NgrZNKN2g84fOIQ
Dude Perfect,https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
MimoROG,https://www.youtube.com/channel/UCSuBkSWYOZF6jAwMaW2gYrQ
Humberto Volts,https://www.youtube.com/channel/UCM9hlzGLtByT7awBPBdOBpA
Bon Appétit,https://www.youtube.com/channel/UCbpMy0Fg74eXXkvxJrtEn3w
PODCAST do MHM,https://www.youtube.com/channel/UCJZbcAJrwU3eNL6cM1EaQtg
chocoTaco,https://www.youtube.com/channel/UCSri6c58uWro3kLTlcuFlVA
ATİLLA,https://www.youtube.com/channel/UCfWusF3TTAfnQftJAyr08CA
Ballislife,https://www.youtube.com/channel/UC_zgOsTPdML6tol9hLYh4fQ
INFINITUCOBR,https://www.youtube.com/channel/UC4yrXQDu926TsPLyETDXN0A
TIME IS MONEY,https://www.youtube.com/channel/UCuoCEQWesEY9c8TFxCh1Prg
Trey24k,https://www.youtube.com/channel/UCfmb-FFDgMmvMOekq7QABPg
Lives do YoDa [OFICIAL],https://www.youtube.com/channel/UCxrEoHwvBSRvVVK35qxHvPA
COD_DeathZone,https://www.youtube.com/channel/UCxKMFDLKbKB86nFd54kQn6A
tcTekk,https://www.youtube.com/channel/UC34xlfLRXSDhJEaEQ3ubzag
LÉBRÃO 001 G.N.A,https://www.youtube.com/channel/UC_MCI__erPLM1cMcwIxWHTQ
How Ridiculous,https://www.youtube.com/channel/UC5f5IV0Bf79YLp_p9nfInRA
Fala do Mundo,https://www.youtube.com/channel/UC-MVBMyFIDk3AqDGrf-V9cw
Four Eyes,https://www.youtube.com/channel/UCZta4vDWgn93MOaLsp_GndA
Web Rádio Galo,https://www.youtube.com/channel/UCFOgcNjProo6EKuJ7XiL6TQ
Fiótin Cripto,https://www.youtube.com/channel/UCCxWUhNgsy2VGXo7BjgNfHw
Golficity,https://www.youtube.com/channel/UClVN2plkJMtLQCHwoJSoEeA
Serginho Faoth,https://www.youtube.com/channel/UCvrkGIZMBPD22hRn6aPGoCA
히니HEENY,https://www.youtube.com/channel/UCRH6Eng69qsXTlSoSzgzTkQ
Sim Sou Silva,https://www.youtube.com/channel/UCvUESgfOfpPyQfL7CKoVjbA
GameRiot,https://www.youtube.com/channel/UCns4T9U8VSIRovKa1a_r7rA
loc bignose,https://www.youtube.com/channel/UC0oS1kpDxIuXv8pUcmiFR8A
Gaz's Golf,https://www.youtube.com/channel/UC4gtwSrKik-bnbIomc1E3UQ
Cardinal PUBG,https://www.youtube.com/channel/UCCXnoecwCRvD-UnQIanP8cA
Maestria nos Negócios,https://www.youtube.com/channel/UCHiNy3E1WXoS9pQUhNlqFug
KYRGYZ PUBG,https://www.youtube.com/channel/UCmgLrmSvU8lVTrKRd1OgZ7Q
Galizma,https://www.youtube.com/channel/UCfHv69Q7VadLjw0gjtKdNhA
Reversão,https://www.youtube.com/channel/UCyEHckavb7hMh5f8j4WEiIg
Igor Mundstock,https://www.youtube.com/channel/UCSieFtb-DCmhsLhWaRssngQ
